_New;New
Catalog;Catalog
All;All
OpenBrowser;Open browser
UnrecognizedActionColon;Unrecognized action:
SupportsNullsColonParameter;Supports nulls: {0}
UnauthorizedAccessParameter;Unauthorized access {0}
UndefinedCatalogInQueryExceptionMessage;Bad query definition. The catalog does not exists.
TestsSmtpAccountWrongCredentialsMessage;Wrong credentials, check user and password.
FieldsColon;Fields:
BusinessItemEmptyNameMessage;You must especify a name for this business item
ExecutionComplete;Execution complete
ExecutionCompleteWithUnexpectedExitCode;Execution complete with an unexpected ExitCode.
ExecuteParameterBetweenQuotes;Execute {0}
ExecuteProcedureParameterBetweenQuotes;Execute procedure '{0}'
ExecutingDot;Executing.
TestConnectionUnassignedDataSourceMessage;Unassigned datasource
ExecutingRowParameter;Executing row {0}
CatalogNotFromUriExceptionMessage;The catalog is not obtained by uri.
TableRowContentIsNotTableColumnExceptionMessage;The row content must be TABLE COLUMN
TableContentIsNotTableColumnExceptionMessage;The table content must be TABLE COLUMN
DirectoryNotFoundOrNotAccessibleExceptionMessage;The directory does not exists or is not accessible:
DirectoryNotFoundExceptionMessage;The directory does not exists:
FileNotEqualParameterExceptionMessage;The file is not exactly equal. ({0})
FileNotFoundOrNotAccessibleExceptionMessage;The file does not exists or is not accessible:
InitializationMethodNotStaticExceptionMessage;The method '{0}' of {1} must be static
ParameterNameWithSpacesExceptionMessage;A parameter name cannot contain spaces.
NullQueryParameterExceptionMessage;The parameter query cannot be NULL
CronoServerDoesNotSupportFeatureExceptionMessage;The server does not support this feature.
CorrectElement;Correct element
ReadingErrorParameterBetweenQuotes;Reading error '{0}'
ErrorParsingThisSentenceColonParameter;Error parsing this sentence:|{0}
ErrorInFileParameter;Error in the file {0}
IsForeignKeyColonParameter;Is foreign key: {0}
IsPrimaryKeyColonParameter;Is primary key: {0}
IsDeferrableColonParameter;Is deferrable: {0}
IsClusteredColonParameter;Is clustered: {0}
IsUniqueColonParameter;Is unique: {0}
IsDisabledColonParameter;Is disabled: {0}
MultipleMethodsWithSameAttributeExceptionMessage;There are several methods with the attribute {0}
IncorrectExpressionColonParameter;Incorrect expression: {0}
CubeWithUnknownColumnsExceptionMessage;This cube cannot be evaluated because it contains unknown columns.
